name	term	lev	seq	value
"positive regulation of biological process"	GO:0048518	2	isogroup10468	1.5
"positive regulation of biological process"	GO:0048518	2	isogroup11353	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup11459	-0.3
"positive regulation of biological process"	GO:0048518	2	isogroup1184	3.6
"positive regulation of biological process"	GO:0048518	2	isogroup1227	6
"positive regulation of biological process"	GO:0048518	2	isogroup12579	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup12739	1.9
"positive regulation of biological process"	GO:0048518	2	isogroup1275	0.8
"positive regulation of biological process"	GO:0048518	2	isogroup12838	-0.3
"positive regulation of biological process"	GO:0048518	2	isogroup13346	0.5
"positive regulation of biological process"	GO:0048518	2	isogroup14035	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup14195	-0.4
"positive regulation of biological process"	GO:0048518	2	isogroup14252	0.5
"positive regulation of biological process"	GO:0048518	2	isogroup14264	0.6
"positive regulation of biological process"	GO:0048518	2	isogroup14336	5.5
"positive regulation of biological process"	GO:0048518	2	isogroup14487	0.6
"positive regulation of biological process"	GO:0048518	2	isogroup14696	4.8
"positive regulation of biological process"	GO:0048518	2	isogroup14713	1.2
"positive regulation of biological process"	GO:0048518	2	isogroup14765	-0.5
"positive regulation of biological process"	GO:0048518	2	isogroup15173	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup15814	2.1
"positive regulation of biological process"	GO:0048518	2	isogroup15872	1
"positive regulation of biological process"	GO:0048518	2	isogroup15907	3.2
"positive regulation of biological process"	GO:0048518	2	isogroup16270	1.3
"positive regulation of biological process"	GO:0048518	2	isogroup16478	0
"positive regulation of biological process"	GO:0048518	2	isogroup16681	-0.3
"positive regulation of biological process"	GO:0048518	2	isogroup16730	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup1765	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup18058	1
"positive regulation of biological process"	GO:0048518	2	isogroup18769	1.8
"positive regulation of biological process"	GO:0048518	2	isogroup18772	0.5
"positive regulation of biological process"	GO:0048518	2	isogroup19054	-1.4
"positive regulation of biological process"	GO:0048518	2	isogroup19286	0
"positive regulation of biological process"	GO:0048518	2	isogroup19368	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup19399	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup19637	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup19700	-1.6
"positive regulation of biological process"	GO:0048518	2	isogroup19723	-1.5
"positive regulation of biological process"	GO:0048518	2	isogroup19734	2
"positive regulation of biological process"	GO:0048518	2	isogroup19799	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup19914	-6.3
"positive regulation of biological process"	GO:0048518	2	isogroup20115	0.6
"positive regulation of biological process"	GO:0048518	2	isogroup21034	1.1
"positive regulation of biological process"	GO:0048518	2	isogroup2118	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup21334	-5.5
"positive regulation of biological process"	GO:0048518	2	isogroup214	1.6
"positive regulation of biological process"	GO:0048518	2	isogroup21402	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup215	-1.2
"positive regulation of biological process"	GO:0048518	2	isogroup2181	-1.2
"positive regulation of biological process"	GO:0048518	2	isogroup21944	1.9
"positive regulation of biological process"	GO:0048518	2	isogroup22166	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup22199	-4.3
"positive regulation of biological process"	GO:0048518	2	isogroup22285	-4.9
"positive regulation of biological process"	GO:0048518	2	isogroup22660	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup2278	10
"positive regulation of biological process"	GO:0048518	2	isogroup23166	1
"positive regulation of biological process"	GO:0048518	2	isogroup2354	1.4
"positive regulation of biological process"	GO:0048518	2	isogroup23604	-1
"positive regulation of biological process"	GO:0048518	2	isogroup23928	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup24678	-0.3
"positive regulation of biological process"	GO:0048518	2	isogroup24692	-0.6
"positive regulation of biological process"	GO:0048518	2	isogroup24891	0
"positive regulation of biological process"	GO:0048518	2	isogroup25290	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup25345	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup25622	1.5
"positive regulation of biological process"	GO:0048518	2	isogroup25920	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup26335	0.6
"positive regulation of biological process"	GO:0048518	2	isogroup26412	0.6
"positive regulation of biological process"	GO:0048518	2	isogroup26527	1.3
"positive regulation of biological process"	GO:0048518	2	isogroup26646	-0.8
"positive regulation of biological process"	GO:0048518	2	isogroup27236	-1.3
"positive regulation of biological process"	GO:0048518	2	isogroup27300	1.5
"positive regulation of biological process"	GO:0048518	2	isogroup27503	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup2852	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup28825	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup28841	0.9
"positive regulation of biological process"	GO:0048518	2	isogroup28851	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup29127	-1
"positive regulation of biological process"	GO:0048518	2	isogroup29227	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup29322	0.6
"positive regulation of biological process"	GO:0048518	2	isogroup2969	0.4
"positive regulation of biological process"	GO:0048518	2	isogroup30035	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup30214	0.4
"positive regulation of biological process"	GO:0048518	2	isogroup3132	-0.9
"positive regulation of biological process"	GO:0048518	2	isogroup31555	0.9
"positive regulation of biological process"	GO:0048518	2	isogroup31952	0.9
"positive regulation of biological process"	GO:0048518	2	isogroup32208	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup33725	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup34380	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup3478	-1.9
"positive regulation of biological process"	GO:0048518	2	isogroup34870	0.5
"positive regulation of biological process"	GO:0048518	2	isogroup35231	-0.6
"positive regulation of biological process"	GO:0048518	2	isogroup35515	0.4
"positive regulation of biological process"	GO:0048518	2	isogroup35661	1.7
"positive regulation of biological process"	GO:0048518	2	isogroup35711	-0.4
"positive regulation of biological process"	GO:0048518	2	isogroup36927	-0.5
"positive regulation of biological process"	GO:0048518	2	isogroup3719	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup37368	0
"positive regulation of biological process"	GO:0048518	2	isogroup375	0
"positive regulation of biological process"	GO:0048518	2	isogroup37639	1.1
"positive regulation of biological process"	GO:0048518	2	isogroup37744	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup37909	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup3829	2.4
"positive regulation of biological process"	GO:0048518	2	isogroup3849	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup38773	2.9
"positive regulation of biological process"	GO:0048518	2	isogroup39332	0.4
"positive regulation of biological process"	GO:0048518	2	isogroup39846	1.2
"positive regulation of biological process"	GO:0048518	2	isogroup40309	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup40748	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup41233	-0.9
"positive regulation of biological process"	GO:0048518	2	isogroup4187	1.7
"positive regulation of biological process"	GO:0048518	2	isogroup42138	-0.5
"positive regulation of biological process"	GO:0048518	2	isogroup42345	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup42496	-0.6
"positive regulation of biological process"	GO:0048518	2	isogroup4323	1.1
"positive regulation of biological process"	GO:0048518	2	isogroup43415	-0.9
"positive regulation of biological process"	GO:0048518	2	isogroup45053	1.6
"positive regulation of biological process"	GO:0048518	2	isogroup4589	1.5
"positive regulation of biological process"	GO:0048518	2	isogroup492	1.9
"positive regulation of biological process"	GO:0048518	2	isogroup5161	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup5327	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup5480	1.6
"positive regulation of biological process"	GO:0048518	2	isogroup5752	-2.3
"positive regulation of biological process"	GO:0048518	2	isogroup5819	-0.6
"positive regulation of biological process"	GO:0048518	2	isogroup6102	-4.3
"positive regulation of biological process"	GO:0048518	2	isogroup6184	-10
"positive regulation of biological process"	GO:0048518	2	isogroup6209	-6.5
"positive regulation of biological process"	GO:0048518	2	isogroup6330	9.9
"positive regulation of biological process"	GO:0048518	2	isogroup6462	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup6605	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup6789	-3
"positive regulation of biological process"	GO:0048518	2	isogroup7624	0
"positive regulation of biological process"	GO:0048518	2	isogroup7666	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup7718	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup7781	2.7
"positive regulation of biological process"	GO:0048518	2	isogroup7819	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup7830	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup7969	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup8140	-2.2
"positive regulation of biological process"	GO:0048518	2	isogroup829	-8.6
"positive regulation of biological process"	GO:0048518	2	isogroup8305	-0.4
"positive regulation of biological process"	GO:0048518	2	isogroup8333	1.2
"positive regulation of biological process"	GO:0048518	2	isogroup8400	1.6
"positive regulation of biological process"	GO:0048518	2	isogroup8486	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup8623	1.4
"positive regulation of biological process"	GO:0048518	2	isogroup8676	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup9032	-6.6
"positive regulation of biological process"	GO:0048518	2	isogroup9075	-0.3
"positive regulation of biological process"	GO:0048518	2	isogroup9195	-1
"positive regulation of biological process"	GO:0048518	2	isogroup9443	-8.5
"positive regulation of biological process"	GO:0048518	2	isogroup9587	4.3
"positive regulation of biological process"	GO:0048518	2	isogroup9872	-0.3
"positive regulation of biological process"	GO:0048518	2	isogroup10284	-0.7
"positive regulation of biological process"	GO:0048518	2	isogroup10513	0.4
"positive regulation of biological process"	GO:0048518	2	isogroup10787	-1.9
"positive regulation of biological process"	GO:0048518	2	isogroup10805	-0.5
"positive regulation of biological process"	GO:0048518	2	isogroup12001	1.6
"positive regulation of biological process"	GO:0048518	2	isogroup12705	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup14165	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup15312	-1.4
"positive regulation of biological process"	GO:0048518	2	isogroup15967	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup17077	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup17353	-0.8
"positive regulation of biological process"	GO:0048518	2	isogroup17564	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup18327	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup18828	0.7
"positive regulation of biological process"	GO:0048518	2	isogroup18866	2.4
"positive regulation of biological process"	GO:0048518	2	isogroup1913	1
"positive regulation of biological process"	GO:0048518	2	isogroup19828	-0.7
"positive regulation of biological process"	GO:0048518	2	isogroup2203	0.8
"positive regulation of biological process"	GO:0048518	2	isogroup23125	-10
"positive regulation of biological process"	GO:0048518	2	isogroup23212	1.4
"positive regulation of biological process"	GO:0048518	2	isogroup23900	0
"positive regulation of biological process"	GO:0048518	2	isogroup23943	-2.6
"positive regulation of biological process"	GO:0048518	2	isogroup25110	0.5
"positive regulation of biological process"	GO:0048518	2	isogroup25216	-0.9
"positive regulation of biological process"	GO:0048518	2	isogroup25507	1.8
"positive regulation of biological process"	GO:0048518	2	isogroup25859	-0.8
"positive regulation of biological process"	GO:0048518	2	isogroup2616	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup27352	-0.6
"positive regulation of biological process"	GO:0048518	2	isogroup2760	1.5
"positive regulation of biological process"	GO:0048518	2	isogroup28419	0.9
"positive regulation of biological process"	GO:0048518	2	isogroup3003	-1.1
"positive regulation of biological process"	GO:0048518	2	isogroup30663	1.3
"positive regulation of biological process"	GO:0048518	2	isogroup3092	2.4
"positive regulation of biological process"	GO:0048518	2	isogroup31489	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup31604	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup34139	1.8
"positive regulation of biological process"	GO:0048518	2	isogroup3671	0.1
"positive regulation of biological process"	GO:0048518	2	isogroup36770	0.8
"positive regulation of biological process"	GO:0048518	2	isogroup3913	0.9
"positive regulation of biological process"	GO:0048518	2	isogroup3953	1.5
"positive regulation of biological process"	GO:0048518	2	isogroup40589	0.4
"positive regulation of biological process"	GO:0048518	2	isogroup4367	-3.5
"positive regulation of biological process"	GO:0048518	2	isogroup46214	0
"positive regulation of biological process"	GO:0048518	2	isogroup4721	-0.4
"positive regulation of biological process"	GO:0048518	2	isogroup4804	1.3
"positive regulation of biological process"	GO:0048518	2	isogroup5430	0
"positive regulation of biological process"	GO:0048518	2	isogroup5875	0.5
"positive regulation of biological process"	GO:0048518	2	isogroup6015	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup622	2.6
"positive regulation of biological process"	GO:0048518	2	isogroup670	0.3
"positive regulation of biological process"	GO:0048518	2	isogroup7194	0.9
"positive regulation of biological process"	GO:0048518	2	isogroup7226	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup7491	-0.1
"positive regulation of biological process"	GO:0048518	2	isogroup8207	0
"positive regulation of biological process"	GO:0048518	2	isogroup883	0.8
"positive regulation of biological process"	GO:0048518	2	isogroup9021	-0.2
"positive regulation of biological process"	GO:0048518	2	isogroup9596	-1
"positive regulation of biological process"	GO:0048518	2	isogroup1228	0.8
"positive regulation of biological process"	GO:0048518	2	isogroup18601	0.2
"positive regulation of biological process"	GO:0048518	2	isogroup22080	-4.4
"positive regulation of biological process"	GO:0048518	2	isogroup26132	-5.1
"positive regulation of biological process"	GO:0048518	2	isogroup36649	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup10183	-0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup11051	-3.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup11145	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup11710	1.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup11791	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup11917	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup12010	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup12019	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup12073	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup12231	-0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup12955	-0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup13106	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup14098	-7
"protein folding"	GO:0061077;GO:0006457	2	isogroup14149	-0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup14356	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup14914	-0.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup15185	-0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup15302	1.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup15916	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup16233	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup16571	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup16636	-2.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup17529	-3.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup18037	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup18063	3.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup1857	-1.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup18729	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup18823	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup19013	1.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup20009	-0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup20144	-0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup20280	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup23054	-1.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup23617	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup24524	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup25962	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup26305	-2.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup26651	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup28157	-6.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup2826	-1.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup2853	9
"protein folding"	GO:0061077;GO:0006457	2	isogroup3042	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup30780	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup3361	-0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup35178	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup3555	0.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup3842	-2.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup3863	4.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup39611	2.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup4029	1
"protein folding"	GO:0061077;GO:0006457	2	isogroup4133	3.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup4613	-1.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup46532	2
"protein folding"	GO:0061077;GO:0006457	2	isogroup5023	-2.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup5056	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup5414	1.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup5679	0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup5720	-1.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup5864	-6.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup5866	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup5986	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup6012	-3.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup6278	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup6648	-1.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup6899	0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup6906	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup7021	-3.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup7071	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup7100	5.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup7211	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup7477	-2.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup7554	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup7570	-8.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup7664	-1.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup7728	-0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup8542	2.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup8839	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup9294	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup9602	-7.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup10459	2.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup10709	-8.6
