"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-600 0.307172611364814 2 12 "GO:0000002;GO:0032042" "mitochondrial genome maintenance" 0.472436369687809
376 0.320353771352211 3 29 "GO:0000018" "regulation of DNA recombination" 0.486717747032973
616 0.199416251139483 6 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.361188455916718
36 0.912747020736403 2 39 "GO:0000041" "transition metal ion transport" 0.949075728495397
57 0.903195330552203 2 19 "GO:0000045" "autophagosome assembly" 0.944552871537607
503 0.00827274069002307 3 116 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.0401171260858653
802 0.000324114020505046 2 84 "GO:0000075" "cell cycle checkpoint signaling" 0.00386751786265572
624 0.206117481517224 7 17 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.368094946982991
746 0.00670586476074138 5 55 "GO:0000082;GO:1902806;GO:2000045" "G1/S transition of mitotic cell cycle" 0.0355996214098912
174 0.571515900263558 2 44 "GO:0000086;GO:1902749" "G2/M transition of mitotic cell cycle" 0.704526855577363
806 0.0302787027371682 4 30 "GO:0000096" "sulfur amino acid metabolic process" 0.0994002544261905
1195 0.0154997707490347 2 17 "GO:0000097" "sulfur amino acid biosynthetic process" 0.0633106020595187
1317 0.00381382882553482 2 20 "GO:0000154" "rRNA modification" 0.0238252130159881
614 0.000151635715045583 2 161 "GO:0000165;GO:0043408" "MAPK cascade" 0.0021909813520872
182 0.528699420639535 4 50 "GO:0000209" "protein polyubiquitination" 0.671468366350566
256 0.691059939395706 3 10 "GO:0000212" "meiotic spindle organization" 0.803399732499441
316 0.0113286970862828 3 277 "GO:0000226" "microtubule cytoskeleton organization" 0.0506571633921361
105 0.817145920008556 7 20 "GO:0000245" "spliceosomal complex assembly" 0.891889996967201
693 0.258967906747547 2 11 "GO:0000266" "mitochondrial fission" 0.424419624947369
238 0.482770059379944 5 36 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.633356149550958
512 0.425940774574154 2 10 "GO:0000272;GO:0009251;GO:0044247" "polysaccharide catabolic process" 0.583775836138302
484 0.000373829865230184 5 231 "GO:0000280;GO:0048285" "organelle fission" 0.00436282663033207
1386 0.0140817731633564 2 13 "GO:0000281;GO:1902410" "mitotic cytokinesis" 0.0588097177378732
664 0.0420737248447155 2 39 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.125688595738644
254 0.606950217888253 3 17 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.736664150168371
505 0.10078006307626 2 44 "GO:0000302" "response to reactive oxygen species" 0.227478059483503
-23 0.929307934505339 3 64 "GO:0000380;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.958035840810246
235 0.204133720786015 2 123 "GO:0000398" "mRNA splicing, via spliceosome" 0.365890314725313
299 0.501558757239217 2 21 "GO:0000422" "autophagy of mitochondrion" 0.647999270301762
198 0.706283546852293 2 15 "GO:0000460" "maturation of 5.8S rRNA" 0.814854021463482
322 0.616321316422243 3 10 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.74548204788203
139 0.791314794889829 -1 15 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.871307736830481
820 0.162879119940827 2 12 "GO:0000470" "maturation of LSU-rRNA" 0.315712652929784
273 0.339344392280959 3 51 "GO:0000578;GO:0007351;GO:0008595;GO:0009948" "anterior/posterior axis specification" 0.505801746810356
155 0.554228661086115 4 61 "GO:0000723;GO:0032200" "telomere organization" 0.691646108194423
282 0.393088171705868 2 38 "GO:0000724" "double-strand break repair via homologous recombination" 0.551465836660016
479 0.0496601864363735 2 70 "GO:0000725" "recombinational repair" 0.141013684479756
-309 0.569629560549903 2 14 "GO:0000731;GO:0006301" "DNA synthesis involved in DNA repair" 0.703835477956948
-67 0.853470183203973 3 32 "GO:0000768;GO:0006949;GO:0140253" "syncytium formation by plasma membrane fusion" 0.914155657652667
498 2.15262678760617e-07 2 482 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667" "cell morphogenesis involved in differentiation" 1.27004980468764e-05
424 0.0437214474348078 3 95 "GO:0000910" "cytokinesis" 0.128620989406554
950 0.140033925351971 3 10 "GO:0000912" "assembly of actomyosin apparatus involved in cytokinesis" 0.283268626140558
251 0.291012032836769 2 74 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.454826753307798
513 0.167709970336082 5 30 "GO:0000959" "mitochondrial RNA metabolic process" 0.321156088618471
1206 0.0266530497681463 5 14 "GO:0000963" "mitochondrial RNA processing" 0.0917521518760822
-1 0.998129294663287 2 12 "GO:0000966;GO:0034471" "RNA 5'-end processing" 0.999070038579086
354 0.272347590931383 2 40 "GO:0001101" "response to acid chemical" 0.438897028177737
856 1.55921982804643e-05 4 107 "GO:0001501" "skeletal system development" 0.000344977386955273
852 0.131261326054519 2 13 "GO:0001504" "neurotransmitter uptake" 0.270416155712705
355 0.0461621912775977 2 133 "GO:0001505;GO:0006836" "regulation of neurotransmitter levels" 0.133399311936895
455 0.229142125110768 3 29 "GO:0001508" "action potential" 0.394087347154066
418 0.184392995025811 2 42 "GO:0001510" "RNA methylation" 0.341754556225849
1602 0.0127818508844688 2 10 "GO:0001522" "pseudouridine synthesis" 0.0547568944216304
143 0.771611789984714 7 17 "GO:0001523" "retinoid metabolic process" 0.856636933186323
272 0.280078900143227 2 66 "GO:0001525" "angiogenesis" 0.444942097160968
143 0.543242104429466 3 76 "GO:0001539;GO:0003341" "cilium movement" 0.683944763789975
606 0.00167958403327133 4 113 "GO:0001558" "regulation of cell growth" 0.0128325053477277
