"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
569 0.0480741609788468 3 121 "GO:0000018" "regulation of DNA recombination" 0.256210268338131
71 0.93500735430237 7 13 "GO:0000019" "regulation of mitotic recombination" 0.976446698780785
-2090 0.0102697833706931 3 15 "GO:0000027" "ribosomal large subunit assembly" 0.111396944326812
1971 0.0480527703745594 3 10 "GO:0000028" "ribosomal small subunit assembly" 0.256210268338131
666 0.272611234926514 4 27 "GO:0000038" "very long-chain fatty acid metabolic process" 0.605948791230101
566 0.125852008352153 2 73 "GO:0000041" "transition metal ion transport" 0.416495160447541
-172 0.712463779569679 3 46 "GO:0000045;GO:1905037" "autophagosome organization" 0.885537392851972
900 0.366530864065203 4 10 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.684424325052249
630 0.0120469695998229 3 160 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 0.119908128639109
518 0.553641118092954 7 13 "GO:0000076" "DNA replication checkpoint signaling" 0.809066308493431
674 0.0225332636492794 3 115 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.167983051086534
1160 0.000503999633376742 2 90 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0143422117893011
-491 0.357754596087809 3 35 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.678892014456134
735 0.0764426500646718 2 58 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.32569373086704
317 0.629424335959829 2 23 "GO:0000096" "sulfur amino acid metabolic process" 0.846554438393161
1279 0.199639608544994 2 10 "GO:0000097" "sulfur amino acid biosynthetic process" 0.517917048617007
324 0.0032360749143466 2 895 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0522593488060965
-154 0.779102458470209 2 33 "GO:0000132;GO:0040001" "establishment of mitotic spindle localization" 0.914607164132331
-1238 0.15693975223059 2 13 "GO:0000154" "rRNA modification" 0.463777088322449
641 0.000593538528172847 3 293 "GO:0000165" "MAPK cascade" 0.0159082128771908
678 0.247408380359912 4 29 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.580729446771484
219 0.352951274119942 2 182 "GO:0000209" "protein polyubiquitination" 0.675946174918004
1224 0.146461329927766 3 14 "GO:0000212" "meiotic spindle organization" 0.451362793220352
75 0.672063946275578 3 327 "GO:0000226" "microtubule cytoskeleton organization" 0.866258049838964
379 0.652840281246502 8 14 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.858902310658212
-709 0.132295078843315 3 45 "GO:0000245" "spliceosomal complex assembly" 0.427169308102629
95 0.867010264202257 2 31 "GO:0000271" "polysaccharide biosynthetic process" 0.947810604214467
63 0.819098082440888 3 133 "GO:0000278" "mitotic cell cycle" 0.930747389709759
-41 0.929769308203378 2 47 "GO:0000281" "mitotic cytokinesis" 0.974264757373381
-512 0.51620160595214 5 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.7858947831702
667 0.463888039412642 9 12 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.753001359750803
880 9.45944412145583e-05 2 199 "GO:0000302" "response to reactive oxygen species" 0.00411396579244447
-559 0.366036788370886 2 26 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.684000646286901
-658 0.119388672055767 4 56 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.406709580878741
550 0.309515553176426 3 34 "GO:0000387" "spliceosomal snRNP assembly" 0.64104774736653
