"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
576 0.295224063811573 2 16 "GO:0000041;GO:0006825" "transition metal ion transport" 0.738759026165141
-705 0.186657084095821 -1 17 "GO:0000059" "obsolete protein import into nucleus, docking" 0.738759026165141
-130 0.612402896747877 2 74 "GO:0000160" "phosphorelay signal transduction system" 0.89682261428807
-176 0.283451441076627 5 185 "GO:0001867;GO:0006956;GO:0002252;GO:0002253;GO:0050778;GO:0002684;GO:0048584;GO:0050776;GO:0002682;GO:0048583" "regulation of response to stimulus" 0.738759026165141
-97 0.558989791054379 2 181 "GO:0005975" "carbohydrate metabolic process" 0.89682261428807
219 0.591782532859127 3 29 "GO:0005996;GO:0019318" "monosaccharide metabolic process" 0.89682261428807
-214 0.689000571126465 5 17 "GO:0006006" "glucose metabolic process" 0.913674670406834
-543 0.392928336481937 2 12 "GO:0006066" "alcohol metabolic process" 0.845951595014052
-591 0.0382200923348998 3 60 "GO:0006091" "generation of precursor metabolites and energy" 0.699427689728666
-404 0.292035771548197 4 33 "GO:0006096;GO:0006090;GO:0016052" "carbohydrate catabolic process" 0.738759026165141
-464 0.465038799706344 4 12 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "pentose-phosphate shunt" 0.891479662340778
-247 0.697641697056506 2 12 "GO:0006099" "tricarboxylic acid cycle" 0.918477917707486
-167 0.177007689756486 -1 331 "GO:0006118" "obsolete electron transport" 0.738759026165141
551 0.0249067554948527 2 81 "GO:0006163;GO:0072521" "purine-containing compound metabolic process" 0.699427689728666
884 0.132782517255487 2 14 "GO:0006221;GO:0006220" "pyrimidine nucleotide metabolic process" 0.738759026165141
-101 0.454380710861491 5 273 "GO:0006259" "DNA metabolic process" 0.891479662340778
-434 0.213163469286329 2 40 "GO:0006260" "DNA replication" 0.738759026165141
-1074 0.122676115329612 2 10 "GO:0006270" "DNA replication initiation" 0.738759026165141
80 0.66209823254163 4 147 "GO:0006281;GO:0006974" "DNA repair" 0.901618632516568
-119 0.828337992713718 2 16 "GO:0006289" "nucleotide-excision repair" 0.948781808792743
501 0.362728724568291 2 16 "GO:0006298" "mismatch repair" 0.832545024512558
-136 0.723379700082501 7 33 "GO:0006306;GO:0006305;GO:0043414;GO:0006304;GO:0032259" "DNA modification" 0.930433501010773
404 0.271211484082158 2 36 "GO:0006310" "DNA recombination" 0.738759026165141
349 0.26361077844552 3 50 "GO:0006334;GO:0034728;GO:0065004" "nucleosome assembly" 0.738759026165141
255 0.148851117564769 6 158 "GO:0006338;GO:0006325;GO:0071824" "chromatin organization" 0.738759026165141
-165 0.757139372753604 3 17 "GO:0006352" "DNA-templated transcription initiation" 0.930433501010773
189 0.487236168125819 4 66 "GO:0006366;GO:0006351" "DNA-templated transcription" 0.891479662340778
141 0.505892588309292 2 110 "GO:0006396" "RNA processing" 0.89682261428807
365 0.277804609174093 7 43 "GO:0006397;GO:0016071" "mRNA metabolic process" 0.738759026165141
-307 0.252529183975617 3 68 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.738759026165141
127 0.145603455395974 3 698 "GO:0006412;GO:0009059;GO:0043043;GO:0006518;GO:0043604;GO:1901566;GO:0043603" "organonitrogen compound biosynthetic process" 0.738759026165141
417 0.363954109076528 2 23 "GO:0006413" "translational initiation" 0.832545024512558
-258 0.582108014287473 4 22 "GO:0006414" "translational elongation" 0.89682261428807
-448 0.243009828661296 6 33 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation" 0.738759026165141
23 0.798614899270153 2 624 "GO:0006468;GO:0016310" "phosphorylation" 0.942880816557664
14 0.949300404755991 2 96 "GO:0006470;GO:0016311" "dephosphorylation" 0.984580652849475
-4 0.9893928895399 3 66 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.9893928895399
-178 0.745745159557263 2 16 "GO:0006487" "protein N-linked glycosylation" 0.930433501010773
-155 0.0871060661925494 2 642 "GO:0006508" "proteolysis" 0.738759026165141
-8 0.977023749339127 4 70 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent macromolecule catabolic process" 0.988187727846664
-10 0.966145383498839 -1 80 "GO:0006512" "obsolete ubiquitin cycle" 0.988187727846664
-59 0.777100468661419 2 112 "GO:0006520" "amino acid metabolic process" 0.942495251109503
-951 0.171821242560507 3 10 "GO:0006544" "glycine metabolic process" 0.738759026165141
1136 0.0737472958386098 2 12 "GO:0006563;GO:0009070" "serine family amino acid biosynthetic process" 0.738759026165141
-155 0.665128499397468 4 38 "GO:0006584;GO:0006576;GO:0009712;GO:0009308;GO:0018958" "amine metabolic process" 0.901618632516568
-229 0.527686372544314 2 37 "GO:0006605" "protein targeting" 0.89682261428807
-1889 0.00197578087707576 4 13 "GO:0006606;GO:0034504;GO:0051170;GO:0006913;GO:0051169" "nuclear transport" 0.361567900504864
-205 0.710111245256004 5 16 "GO:0006614;GO:0006613;GO:0045047;GO:0006612;GO:0072599;GO:0070972" "protein targeting to membrane" 0.928216842013205
2 0.98847825475252 2 204 "GO:0006629" "lipid metabolic process" 0.9893928895399
353 0.305442785234396 2 41 "GO:0006633;GO:0006631;GO:0072330" "fatty acid metabolic process" 0.745280395971926
285 0.653669646588822 2 12 "GO:0006643" "membrane lipid metabolic process" 0.901618632516568
-237 0.582977337919058 3 26 "GO:0006644" "phospholipid metabolic process" 0.89682261428807
52 0.53651465238861 2 771 "GO:0006725;GO:1901360;GO:0006139;GO:0046483" "organic cyclic compound metabolic process" 0.89682261428807
425 0.247698607567916 2 36 "GO:0006730" "one-carbon metabolic process" 0.738759026165141
-629 0.23866357601338 2 17 "GO:0006779;GO:0006778;GO:0033014;GO:0033013" "porphyrin-containing compound metabolic process" 0.738759026165141
-545 0.39103919396723 3 12 "GO:0006783;GO:0042168;GO:0046148;GO:0042440" "heme metabolic process" 0.845951595014052
1148 0.0369573986811709 3 16 "GO:0006790" "sulfur compound metabolic process" 0.699427689728666
55 0.576242865464238 4 533 "GO:0006812;GO:0006811" "monoatomic ion transport" 0.89682261428807
-26 0.88746684209261 3 152 "GO:0006813" "potassium ion transport" 0.960984805342885
-596 0.0836630255983599 2 41 "GO:0006814" "sodium ion transport" 0.738759026165141
590 0.082728764087992 2 42 "GO:0006816" "calcium ion transport" 0.738759026165141
95 0.61824045807518 2 135 "GO:0006817;GO:0015698" "inorganic anion transport" 0.89682261428807
278 0.512574987258745 4 27 "GO:0006820" "monoatomic anion transport" 0.89682261428807
-31 0.952299319969165 2 18 "GO:0006821" "chloride transport" 0.984580652849475
-185 0.674145169152534 3 25 "GO:0006836" "neurotransmitter transport" 0.907121808492013
-748 0.239059695616969 4 12 "GO:0006839" "mitochondrial transport" 0.738759026165141
