"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-219 0.814358654494635 2 17 "GO:0000002" "mitochondrial genome maintenance" 0.873971837045876
1334 0.0261881641574141 2 41 "GO:0000018" "regulation of DNA recombination" 0.0704933861417606
1032 0.187980590028773 2 24 "GO:0000038" "very long-chain fatty acid metabolic process" 0.298803609706917
210 0.590756915615986 7 97 "GO:0000041" "transition metal ion transport" 0.696844269098318
371 0.616076431262777 3 27 "GO:0000045;GO:1905037" "autophagosome organization" 0.718974769106951
1236 0.228489176504771 2 14 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.343413480842869
1385 0.23128029843208 2 11 "GO:0000052" "citrulline metabolic process" 0.346036498648471
1019 0.0975454716420184 -1 39 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.187261829765611
217 0.680882743049835 2 53 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.772205534359174
1180 3.47303322098125e-08 3 330 "GO:0000075;GO:1901988;GO:0010948;GO:1901987" "negative regulation of cell cycle process" 7.46379697582295e-07
1627 0.159689143274558 5 11 "GO:0000076" "DNA replication checkpoint signaling" 0.264590891278329
1103 9.92425767918537e-05 7 186 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 0.000777834420487942
1129 0.00654330952609394 3 86 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.0235875175452168
8 0.987896703483317 2 48 "GO:0000080;GO:0051318" "G1 phase" 0.99232456532991
990 0.000302192155567707 2 199 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.00194207248313963
1782 0.0260420326090119 3 23 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.0702151355402258
552 0.0817116134846699 4 148 "GO:0000084;GO:0051320" "S phase" 0.164122898277465
2186 0.0588916209575223 4 11 "GO:0000085;GO:0051319" "mitotic G2 phase" 0.129451193590698
376 0.237256071986123 3 147 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.351442914029061
608 0.00253107138677643 4 374 "GO:0000087" "mitotic M phase" 0.010965749913158
685 0.475442380069535 2 16 "GO:0000090;GO:0051322" "anaphase" 0.596391434739631
114 0.847139147188346 4 42 "GO:0000096" "sulfur amino acid metabolic process" 0.898557906068683
1269 0.149607489349352 2 19 "GO:0000097;GO:0006555;GO:0009086" "sulfur amino acid biosynthetic process" 0.252342575769529
863 0.436118265273976 3 12 "GO:0000098" "sulfur amino acid catabolic process" 0.559128342868166
955 3.58694675419389e-08 4 510 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 7.59969880049854e-07
