"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-497 0.0465476119430318 3 39 "GO:0000002" "mitochondrial genome maintenance" 0.287353924394983
160 0.0263585161820807 1 512 "GO:0000003;GO:0022414;GO:0048610" "reproduction" 0.223382344322485
293 0.424355265874968 6 18 "GO:0000011" "vacuole inheritance" 0.701701743214679
601 0.0494093191669901 2 26 "GO:0000018" "regulation of DNA recombination" 0.295180835797631
402 0.39171405381612 2 11 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.676729876555461
386 0.321080540462389 2 16 "GO:0000023" "maltose metabolic process" 0.627213451687004
66 0.80694799587238 3 33 "GO:0000027" "ribosomal large subunit assembly" 0.911956946831311
34 0.930789012675188 3 16 "GO:0000028" "ribosomal small subunit assembly" 0.973988735421257
575 0.200859987374083 5 12 "GO:0000032;GO:0006057;GO:0031506;GO:0006056" "cell wall mannoprotein biosynthetic process" 0.540687059036049
114 0.590649856490165 2 54 "GO:0000041" "transition metal ion transport" 0.812692075943377
402 0.370582394962278 2 12 "GO:0000045;GO:1905037" "autophagosome assembly" 0.665037398711375
217 0.356842586026669 2 44 "GO:0000054;GO:0033750;GO:0071166;GO:0071426;GO:0071428" "ribosomal subunit export from nucleus" 0.656361176272221
25 0.93630701270566 3 24 "GO:0000055" "ribosomal large subunit export from nucleus" 0.978578209667541
1058 0.0241969961628662 3 11 "GO:0000056" "ribosomal small subunit export from nucleus" 0.217538043172952
91 0.570184800525282 5 95 "GO:0000070;GO:0000819;GO:0098813" "nuclear chromosome segregation" 0.802418123535579
607 0.159889024861223 3 13 "GO:0000073;GO:0110100" "spindle pole body separation" 0.491432588393303
521 0.000480959177517448 5 111 "GO:0000075;GO:1901988;GO:0010948;GO:0045786" "negative regulation of cell cycle" 0.0231735106176884
481 0.108995994872979 6 27 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.408720073728507
408 0.158777233821527 3 29 "GO:0000080;GO:0051318" "G1 phase" 0.491432588393303
411 0.0655469809008669 2 49 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.335339802840899
620 0.136486022034674 3 14 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.4680965052004
496 0.1450491980322 2 21 "GO:0000084;GO:0051320" "S phase" 0.480911410228353
523 0.0159009792199535 2 52 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.165441648962662
223 0.0382415930330749 4 217 "GO:0000087" "mitotic M phase" 0.264734525053636
-74 0.737102855811519 4 50 "GO:0000096" "sulfur amino acid metabolic process" 0.894519347633821
-70 0.739440038336744 4 55 "GO:0000097;GO:0006555;GO:0009086;GO:0009309" "amine biosynthetic process" 0.894519347633821
-254 0.606121526384781 2 10 "GO:0000103" "sulfate assimilation" 0.822974389196931
-17 0.972156564304762 6 10 "GO:0000105;GO:0006547;GO:0009075;GO:0009076;GO:0052803" "histidine biosynthetic process" 0.987080020335756
713 0.0988583914754021 -1 13 "GO:0000114" "obsolete regulation of transcription involved in G1 phase of mitotic cell cycle" 0.396679281128404
430 0.00274450925435591 3 120 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0706282433330242
72 0.862368292482075 3 14 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 0.941689904290568
-124 0.765224694482125 4 14 "GO:0000147;GO:0044396" "actin cortical patch organization" 0.903686212277307
95 0.568455811645404 2 88 "GO:0000154" "rRNA modification" 0.802418123535579
172 0.544846847238249 5 30 "GO:0000165" "MAPK cascade" 0.788319670926349
298 0.279219655612662 2 32 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.606032402098742
151 0.583795753599258 2 32 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.812692075943377
900 0.00676114767790489 2 22 "GO:0000209" "protein polyubiquitination" 0.107945219823102
-40 0.786053150133607 2 115 "GO:0000226;GO:0007017" "microtubule-based process" 0.907801315674671
-221 0.477845331213517 3 25 "GO:0000245" "spliceosomal complex assembly" 0.747440501188711
-494 0.235082915561129 2 14 "GO:0000272" "polysaccharide catabolic process" 0.576136890211287
305 5.68448657252442e-05 3 460 "GO:0000279;GO:0022403;GO:0044848" "biological phase" 0.00661827079683439
218 0.0205006038144522 2 288 "GO:0000280;GO:0048285" "organelle fission" 0.1917531225473
-106 0.631136196700529 3 50 "GO:0000282;GO:0007105;GO:0036214" "contractile ring localization" 0.840797440389031
350 0.093665313354785 4 56 "GO:0000288;GO:0061157;GO:0050779;GO:0061014;GO:1903313" "positive regulation of mRNA metabolic process" 0.391084725866854
365 0.416287984224829 2 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.694563375481426
800 0.0882357834686575 2 11 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.386300402472086
-15 0.967365905611252 2 18 "GO:0000291;GO:0034427;GO:0043928;GO:0070478" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.986542762770946
-124 0.735363261585019 4 18 "GO:0000302" "response to reactive oxygen species" 0.894519347633821
-305 0.535778553919426 2 10 "GO:0000372;GO:0000376" "Group I intron splicing" 0.783408313698271
-2 0.987871157400959 8 150 "GO:0000375;GO:0008380;GO:0000377;GO:0000398" "RNA splicing" 0.990009406659403
415 0.221850828343022 3 21 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.554926773336344
822 0.0800186265502863 3 11 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.376128163378503
108 0.768428516884927 2 18 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.903686212277307
-14 0.955970953288921 4 37 "GO:0000422;GO:0061726;GO:1903008" "organelle disassembly" 0.98249622946231
107 0.682167123211157 2 36 "GO:0000429;GO:0045990" "carbon catabolite regulation of transcription" 0.867770474556772
535 0.183434563310235 6 15 "GO:0000430;GO:0046015;GO:0000433;GO:0045014;GO:0061987;GO:0045013;GO:0061986;GO:0061985;GO:0000437" "regulation of transcription by glucose" 0.513173430892077
-185 0.568572755677555 7 23 "GO:0000436;GO:0045991" "carbon catabolite activation of transcription" 0.802418123535579
305 0.176711135123836 2 48 "GO:0000447;GO:0000479;GO:0000478;GO:0090502" "obsolete RNA phosphodiester bond hydrolysis, endonucleolytic" 0.506273025510393
147 0.651327817362132 -1 23 "GO:0000459;GO:0000467;GO:0031125;GO:0090503" "rRNA 3'-end processing" 0.85429115988291
43 0.798982659993317 9 86 "GO:0000460;GO:0000466;GO:0000469;GO:0090501" "maturation of 5.8S rRNA" 0.911956946831311
129 0.355229620629354 10 128 "GO:0000462;GO:0030490;GO:0042274" "ribosomal small subunit biogenesis" 0.656361176272221
-446 0.152185512414697 2 25 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.487625551889306
516 0.272149470445116 2 11 "GO:0000710" "meiotic mismatch repair" 0.606032402098742
-356 0.318718254675203 6 19 "GO:0000722" "telomere maintenance via recombination" 0.627213451687004
278 0.142811657898387 2 68 "GO:0000723;GO:0032200;GO:0060249;GO:0048871;GO:0032501" "telomere organization" 0.479630278307657
201 0.31528422068289 2 61 "GO:0000724;GO:0000725" "recombinational repair" 0.627213451687004
165 0.525577213603211 -1 36 "GO:0000726" "obsolete non-recombinational repair" 0.777379350522722
477 0.11866129977795 4 26 "GO:0000727" "double-strand break repair via break-induced replication" 0.429220170290553
92 0.790922021939936 2 20 "GO:0000741;GO:0000742" "karyogamy" 0.908448714030132
263 0.0808573317224898 -1 109 "GO:0000746;GO:0000747" "obsolete conjugation" 0.376250699371988
359 0.0531069388994144 4 71 "GO:0000749" "response to pheromone triggering conjugation with cellular fusion" 0.303847328054937
371 0.0934531612946756 5 50 "GO:0000750;GO:0032005;GO:0031139;GO:0031137;GO:0007166;GO:0007186" "cell surface receptor signaling pathway" 0.391084725866854
57 0.887163038990876 3 15 "GO:0000753;GO:0000767" "obsolete cell morphogenesis involved in conjugation" 0.95859156838454
214 0.519904214808303 3 22 "GO:0000754;GO:0023058" "adaptation of signaling pathway" 0.771524523898219
440 0.0865170002636099 3 37 "GO:0000902" "cell morphogenesis" 0.385728351857074
82 0.582157078441613 2 111 "GO:0000910;GO:0032506" "cytokinesis" 0.812692075943377
353 0.45233795705552 4 11 "GO:0000917;GO:0090529" "cell septum assembly" 0.725639395948943
285 0.437321488092945 2 18 "GO:0000920" "septum digestion after cytokinesis" 0.708712992684104
-56 0.893709300602752 2 14 "GO:0000921" "septin ring assembly" 0.959812942095541
296 0.528670178099275 5 11 "GO:0000947;GO:0000955" "amino acid catabolic process to alcohol via Ehrlich pathway" 0.778733015808613
171 0.245896385352938 6 114 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.579389447421935
83 0.78584545473021 2 26 "GO:0000959" "mitochondrial RNA metabolic process" 0.907801315674671
233 0.525767359916439 3 18 "GO:0000972;GO:0000973" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.777379350522722
808 0.0445841867934781 4 15 "GO:0001100" "negative regulation of exit from mitosis" 0.282773677881923
