"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-375 0.373719266038647 3 49 "GO:0000009;GO:0000033;GO:0003980;GO:0004376;GO:0004576;GO:0004583;GO:0008921;GO:0016759;GO:0018715;GO:0018716;GO:0019112;GO:0018717;GO:0018718;GO:0019187;GO:0042281;GO:0042283;GO:0046920;GO:0046921" "oligosaccharyl transferase activity" 0.719628393317644
-428 0.319571221436445 2 47 "GO:0000030;GO:0000026" "mannosyltransferase activity" 0.680161150491771
-2029 0.0911032602925028 3 6 "GO:0000062;GO:0120227;GO:1901567" "fatty acid derivative binding" 0.386001218678412
-643 0.625112900856423 2 5 "GO:0000104;GO:0008177;GO:0016635" "succinate dehydrogenase activity" 0.877281586976848
-723 0.582366143472557 4 5 "GO:0000155;GO:0004673;GO:0140299" "phosphorelay sensor kinase activity" 0.855967757183409
-22 0.973924918555317 6 19 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.99422858612193
-462 0.602625804271084 4 11 "GO:0000179;GO:0016433" "rRNA (adenine-N6,N6-)-dimethyltransferase activity" 0.869114795791918
-1697 0.157575788583983 5 6 "GO:0000252;GO:0000253;GO:0004495;GO:0018451;GO:0018452;GO:0018453;GO:0048258" "3-keto sterol reductase activity" 0.491146553360936
-718 0.106207833872263 6 44 "GO:0000810;GO:0004787;GO:0008758;GO:0008796;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "bis(5'-nucleosyl)-tetraphosphatase activity" 0.416095940364808
56 0.966140973349334 -1 5 "GO:0001509" "obsolete legumain activity" 0.99422858612193
1002 0.219386612647866 5 13 "GO:0001517;GO:0001537;GO:0004394;GO:0015016;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0050659;GO:0050698" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.580472734324807
-236 0.365973510278981 -1 129 "GO:0001584" "obsolete rhodopsin-like receptor activity" 0.713594366650167
-790 0.447366383039808 5 8 "GO:0001614;GO:0016502" "purinergic nucleotide receptor activity" 0.762137059766271
707 0.386428486197059 7 13 "GO:0001641;GO:0001640;GO:0098988" "adenylate cyclase inhibiting G protein-coupled glutamate receptor activity" 0.733992038437517
-2431 0.0194171795245925 6 8 "GO:0001733" "galactosylceramide sulfotransferase activity" 0.158453773651304
-164 0.13627297989915 2 776 "GO:0003677" "DNA binding" 0.46914812350697
-1059 0.107585615697801 2 20 "GO:0003682;GO:0044877" "protein-containing complex binding" 0.418318188095567
-154 0.798376984997339 5 24 "GO:0003684" "damaged DNA binding" 0.940690173053906
2267 0.059032567521438 5 6 "GO:0003697" "single-stranded DNA binding" 0.30504734490117
-696 3.65165285652047e-05 2 314 "GO:0003700;GO:0140110" "transcription regulator activity" 0.00201145211513336
-2963 0.00438820474686189 -1 8 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 0.0601120343642966
1019 0.230045339936392 3 12 "GO:0003713;GO:0003712" "transcription coregulator activity" 0.582745929826201
36 0.876035825343046 2 162 "GO:0003723" "RNA binding" 0.968850433858167
671 0.333141613348043 4 18 "GO:0003725" "double-stranded RNA binding" 0.690302841451587
1162 0.376918633119346 2 5 "GO:0003726" "double-stranded RNA adenosine deaminase activity" 0.722154250701124
-2060 4.94870057626823e-20 2 174 "GO:0003735" "structural constituent of ribosome" 3.2710910809133e-17
223 0.54217362782499 5 65 "GO:0003743" "translation initiation factor activity" 0.827659972268634
-578 0.29022379310612 5 29 "GO:0003746" "translation elongation factor activity" 0.64375143370183
958 0.466322760172828 6 5 "GO:0003747;GO:0008079" "translation release factor activity" 0.76634739445665
-1778 7.59838224756413e-05 2 43 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 0.00334835377709326
-995 0.0598356730949944 3 31 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.30504734490117
2124 0.0411309123598891 -1 8 "GO:0003763" "obsolete chaperonin ATPase activity" 0.248464039449044
1201 2.86644064799949e-06 1 133 "GO:0003774" "cytoskeletal motor activity" 0.000280217717163374
1178 0.000328093450930685 2 81 "GO:0003777" "microtubule motor activity" 0.00903624046104928
-470 0.101282463048535 2 106 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 0.406870482754749
217 0.845124732812445 2 7 "GO:0003810" "protein-glutamine gamma-glutamyltransferase activity" 0.963768411746849
-1153 0.299723616435293 -1 7 "GO:0003812" "obsolete alternative-complement-pathway C3/C5 convertase activity" 0.653852509781283
