"","gene","GO"
"1","1000_at","GO:0000165;GO:0001934;GO:0006351;GO:0006468;GO:0006915;GO:0006975;GO:0007049;GO:0007166;GO:0010628;GO:0010759;GO:0016310;GO:0019233;GO:0030278;GO:0030509;GO:0030641;GO:0030878;GO:0031281;GO:0031663;GO:0032212;GO:0032872;GO:0034198;GO:0034614;GO:0035556;GO:0038083;GO:0042473;GO:0043330;GO:0045944;GO:0048538;GO:0051090;GO:0051216;GO:0051403;GO:0051493;GO:0051973;GO:0060020;GO:0060324;GO:0060425;GO:0060440;GO:0061308;GO:0070371;GO:0070374;GO:0070498;GO:0070849;GO:0071260;GO:0071276;GO:0071356;GO:0072584;GO:0090170;GO:0098792;GO:0120041;GO:1903351;GO:1904355;GO:1904417;GO:2000641;GO:2000657;GO:0005634;GO:0005634;GO:0005635;GO:0005654;GO:0005737;GO:0005737;GO:0005739;GO:0005769;GO:0005770;GO:0005788;GO:0005794;GO:0005829;GO:0005856;GO:0005886;GO:0005901;GO:0005901;GO:0005925;GO:0031143;GO:0001784;GO:0004674;GO:0004674;GO:0004674;GO:0004707;GO:0004707;GO:0004707;GO:0004708;GO:0005515;GO:0005524;GO:0019902;GO:0042802;GO:0106310"
"2","1001_at","GO:0001525;GO:0001570;GO:0001701;GO:0001936;GO:0003180;GO:0007165;GO:0007169;GO:0007275;GO:0007498;GO:0016525;GO:0018108;GO:0030336;GO:0032526;GO:0033674;GO:0045026;GO:0045766;GO:0048771;GO:0060836;GO:0060854;GO:1901201;GO:0005887;GO:0043235;GO:0004714;GO:0005515;GO:0005524"
"3","1002_f_at","GO:0001676;GO:0006082;GO:0006805;GO:0006805;GO:0006805;GO:0008202;GO:0016098;GO:0019373;GO:0019373;GO:0042178;GO:0046483;GO:0097267;GO:0005737;GO:0005789;GO:0005886;GO:0043231;GO:0043231;GO:0004497;GO:0004497;GO:0005506;GO:0008392;GO:0008395;GO:0008395;GO:0016491;GO:0016712;GO:0018675;GO:0018676;GO:0019825;GO:0019899;GO:0020037;GO:0020037;GO:0052741;GO:0070330;GO:0120319"
"4","1003_s_at","GO:0006955;GO:0007186;GO:0007204;GO:0019722;GO:0030595;GO:0032467;GO:0042113;GO:0048535;GO:0060326;GO:0070098;GO:0005886;GO:0005887;GO:0009897;GO:0004930;GO:0005515;GO:0016493;GO:0016494;GO:0019957"
"5","1004_at","GO:0006955;GO:0007186;GO:0007204;GO:0019722;GO:0030595;GO:0032467;GO:0042113;GO:0048535;GO:0060326;GO:0070098;GO:0005886;GO:0005887;GO:0009897;GO:0004930;GO:0005515;GO:0016493;GO:0016494;GO:0019957"
"6","1005_at","GO:0001706;GO:0007049;GO:0007162;GO:0008285;GO:0035335;GO:0035335;GO:0035970;GO:0043407;GO:0043409;GO:0043409;GO:0051447;GO:0070262;GO:0090027;GO:0090266;GO:1903753;GO:1903753;GO:1990869;GO:0005634;GO:0005634;GO:0005737;GO:0005737;GO:0004721;GO:0004722;GO:0004725;GO:0005515;GO:0008138;GO:0008330;GO:0017017;GO:0017017;GO:0017018;GO:0051019"
"7","1006_at","GO:0006508;GO:0022617;GO:0030198;GO:0030574;GO:0030574;GO:0005576;GO:0005615;GO:0031012;GO:0004222;GO:0004222;GO:0004252;GO:0008270"
"8","1007_s_at","GO:0001558;GO:0001952;GO:0007155;GO:0007169;GO:0007275;GO:0007566;GO:0007595;GO:0008283;GO:0008285;GO:0010715;GO:0014909;GO:0033674;GO:0038063;GO:0038063;GO:0038083;GO:0043583;GO:0044319;GO:0046777;GO:0060444;GO:0060749;GO:0061302;GO:0061564;GO:1990138;GO:0005615;GO:0005886;GO:0005887;GO:0043235;GO:0043235;GO:0070062;GO:0004714;GO:0005515;GO:0005518;GO:0005518;GO:0005518;GO:0005524;GO:0038062;GO:0038062;GO:0046872"
"9","1008_f_at","GO:0001819;GO:0006412;GO:0006468;GO:0008285;GO:0009615;GO:0010998;GO:0017148;GO:0017148;GO:0018108;GO:0030968;GO:0032722;GO:0032874;GO:0033689;GO:0034198;GO:0035455;GO:0043066;GO:0043410;GO:0045071;GO:0045087;GO:0046777;GO:0046777;GO:0050790;GO:0051092;GO:0051607;GO:1900225;GO:1901224;GO:1901532;GO:1902033;GO:1902036;GO:0005634;GO:0005737;GO:0005829;GO:0005829;GO:0005829;GO:0005840;GO:0016020;GO:0048471;GO:0003723;GO:0003725;GO:0004672;GO:0004672;GO:0004672;GO:0004674;GO:0004694;GO:0004694;GO:0004715;GO:0005515;GO:0005524;GO:0019888;GO:0042802;GO:0106310"
"10","1009_at","GO:0006355;GO:0007165;GO:0009154;GO:0009154;GO:0016926;GO:0050850;GO:0072332;GO:0000118;GO:0005634;GO:0005634;GO:0005654;GO:0005737;GO:0005737;GO:0005829;GO:0005856;GO:0005886;GO:0070062;GO:0000166;GO:0005080;GO:0005515;GO:0016787;GO:0016787;GO:0016929;GO:0043530;GO:0043530"
"11","100_g_at","GO:0007601;GO:0018344;GO:0018344;GO:0036211;GO:0005737;GO:0005829;GO:0005886;GO:0005968;GO:0005968;GO:0004663;GO:0004663;GO:0005515;GO:0008270;GO:0031267"
"12","1010_at","GO:0001649;GO:0006468;GO:0010628;GO:0032735;GO:0035556;GO:0038066;GO:0051149;GO:0051403;GO:0060038;GO:0060044;GO:0060348;GO:0071347;GO:0090398;GO:0098586;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0004674;GO:0004674;GO:0004707;GO:0004707;GO:0005515;GO:0005524;GO:0106310"
"13","1011_s_at","GO:0000165;GO:0001764;GO:0003064;GO:0006605;GO:0007165;GO:0007346;GO:0008104;GO:0021762;GO:0021766;GO:0021987;GO:0034504;GO:0034605;GO:0035556;GO:0046827;GO:0051480;GO:0060306;GO:0086013;GO:0086091;GO:1901016;GO:1901020;GO:1902309;GO:1905913;GO:0005634;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005886;GO:0005925;GO:0016020;GO:0042470;GO:0070062;GO:0003723;GO:0005246;GO:0005515;GO:0015459;GO:0019899;GO:0019903;GO:0019904;GO:0023026;GO:0031625;GO:0042802;GO:0042826;GO:0044325;GO:0045296;GO:0046982;GO:0050815;GO:0050815;GO:0051219;GO:0097110"
"14","1012_at","GO:0006094;GO:0006282;GO:0006338;GO:0006338;GO:0006338;GO:0006354;GO:0006355;GO:0006473;GO:0007049;GO:0007507;GO:0008285;GO:0010835;GO:0016573;GO:0018076;GO:0018393;GO:0018394;GO:0032869;GO:0043484;GO:0043966;GO:0043966;GO:0043966;GO:0043970;GO:0045722;GO:0045736;GO:0045815;GO:0045893;GO:0045944;GO:0045944;GO:0045995;GO:0046600;GO:0048511;GO:0051726;GO:0060173;GO:1902425;GO:2000233;GO:0000123;GO:0000124;GO:0000124;GO:0000776;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005813;GO:0005829;GO:0031672;GO:0031674;GO:0032991;GO:0032991;GO:0042641;GO:0072686;GO:0140672;GO:0140672;GO:0000977;GO:0003682;GO:0003712;GO:0003713;GO:0004145;GO:0004402;GO:0004402;GO:0004402;GO:0004468;GO:0004468;GO:0004861;GO:0005515;GO:0010484;GO:0016407;GO:0019901;GO:0042826;GO:0061733;GO:0061733;GO:0140297"
"15","1013_at","GO:0000122;GO:0001657;GO:0001880;GO:0002051;GO:0003161;GO:0006357;GO:0006468;GO:0007165;GO:0007179;GO:0007179;GO:0007281;GO:0009653;GO:0009880;GO:0030154;GO:0030218;GO:0030509;GO:0030509;GO:0030509;GO:0045669;GO:0045893;GO:0051216;GO:0060048;GO:0060348;GO:0060395;GO:0060395;GO:0060395;GO:0071407;GO:1901522;GO:1901522;GO:0000785;GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005737;GO:0005829;GO:0005829;GO:0032991;GO:0071141;GO:0071144;GO:0000978;GO:0000978;GO:0000981;GO:0000981;GO:0001227;GO:0005515;GO:0017151;GO:0031625;GO:0046872;GO:0070411;GO:1990837"
"16","1014_at","GO:0006259;GO:0006261;GO:0006264;GO:0006264;GO:0006264;GO:0006287;GO:0071897;GO:0090305;GO:0005739;GO:0005739;GO:0005759;GO:0005760;GO:0005760;GO:0032991;GO:0042645;GO:0002020;GO:0003677;GO:0003682;GO:0003887;GO:0003887;GO:0003887;GO:0005515;GO:0008408;GO:0008408;GO:0008408"
"17","1015_s_at","GO:0006468;GO:0006468;GO:0007165;GO:0007266;GO:0007399;GO:0030036;GO:0032233;GO:0038096;GO:0043149;GO:0045773;GO:0048675;GO:0051444;GO:0051496;GO:0001673;GO:0005634;GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0005856;GO:0005925;GO:0016020;GO:0016607;GO:0030027;GO:0043005;GO:0043005;GO:0004672;GO:0004674;GO:0004674;GO:0004674;GO:0005515;GO:0005524;GO:0031072;GO:0046872;GO:0106310"
"18","1016_s_at","GO:0002638;GO:0016064;GO:0019221;GO:0043305;GO:0005576;GO:0005615;GO:0009897;GO:0016021;GO:0043235;GO:0004896;GO:0004896;GO:0005515;GO:0019955"
"19","1017_at","GO:0000710;GO:0006281;GO:0006298;GO:0006298;GO:0006298;GO:0006298;GO:0007283;GO:0008340;GO:0008630;GO:0009411;GO:0016446;GO:0016447;GO:0045190;GO:0045910;GO:0051096;GO:0097193;GO:0000785;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005794;GO:0005829;GO:0032301;GO:0032301;GO:0032301;GO:0043231;GO:0000287;GO:0000400;GO:0003682;GO:0003690;GO:0005515;GO:0005524;GO:0008094;GO:0019899;GO:0030983;GO:0030983;GO:0032137;GO:0032142;GO:0032143;GO:0032357;GO:0032405;GO:0035064;GO:0043531;GO:0140664"
"20","1018_at","GO:0000086;GO:0000122;GO:0001649;GO:0002062;GO:0006366;GO:0006629;GO:0007224;GO:0010971;GO:0014835;GO:0030182;GO:0030182;GO:0030217;GO:0030501;GO:0030855;GO:0030858;GO:0032434;GO:0043065;GO:0045165;GO:0045444;GO:0045582;GO:0045599;GO:0045669;GO:0045899;GO:0048627;GO:0048641;GO:0048741;GO:0050680;GO:0050821;GO:0050909;GO:0051091;GO:0051885;GO:0060070;GO:0060070;GO:0060346;GO:0061196;GO:0071300;GO:0071320;GO:0071374;GO:0071425;GO:0090263;GO:0120163;GO:1902035;GO:0005576;GO:0005615;GO:0005615;GO:0005109;GO:0005125;GO:0005515;GO:0048018"
"21","1019_g_at","GO:0000086;GO:0000122;GO:0001649;GO:0002062;GO:0006366;GO:0006629;GO:0007224;GO:0010971;GO:0014835;GO:0030182;GO:0030182;GO:0030217;GO:0030501;GO:0030855;GO:0030858;GO:0032434;GO:0043065;GO:0045165;GO:0045444;GO:0045582;GO:0045599;GO:0045669;GO:0045899;GO:0048627;GO:0048641;GO:0048741;GO:0050680;GO:0050821;GO:0050909;GO:0051091;GO:0051885;GO:0060070;GO:0060070;GO:0060346;GO:0061196;GO:0071300;GO:0071320;GO:0071374;GO:0071425;GO:0090263;GO:0120163;GO:1902035;GO:0005576;GO:0005615;GO:0005615;GO:0005109;GO:0005125;GO:0005515;GO:0048018"
